,Source,Target,Weight,Type
285,"Niemann, Hans Moke","Sukandar, Irine Kharisma",1,Directed
286,"Niemann, Hans Moke","Beerdsen, Thomas",1,Directed
287,"Jarmula, Lukasz","Niemann, Hans Moke",1,Directed
288,"Niemann, Hans Moke","Gretarsson, Hjorvar Steinn",1,Directed
289,"Hjartarson, Johann","Niemann, Hans Moke",1,Directed
290,"Niemann, Hans Moke","Hedman, Erik",1,Directed
291,"Niemann, Hans Moke","Thorhallsson, Throstur",1,Directed
292,"Dragun, Kamil","Niemann, Hans Moke",1,Directed
293,"Niemann, Hans Moke","Antipov, Mikhail Al",1,Directed
294,"Swiercz, Dariusz","Niemann, Hans Moke",1,Directed
295,"Niemann, Hans Moke","Pulkkinen, Kari",1,Directed
296,"Niemann, Hans Moke","Formento, Paolo",1,Directed
297,"Ioannidis, Evgenios","Niemann, Hans Moke",1,Directed
298,"Niemann, Hans Moke","Salimova, Nurgyul",1,Directed
299,"Prraneeth, Vuppala","Niemann, Hans Moke",1,Directed
300,"Niemann, Hans Moke","Siddharth, Jagadeesh",1,Directed
301,"Niemann, Hans Moke","Bharath, Subramaniyam H",1,Directed
302,"Niemann, Hans Moke","Pantzar, Milton",1,Directed
303,"Niemann, Hans Moke","Thybo, Jesper Sondergaard",1,Directed
304,"Niemann, Hans Moke","Meister, Peter",1,Directed
305,"Niemann, Hans Moke","Ayats Llobera, Gerard",1,Directed
306,"Niemann, Hans Moke","Sankalp, Gupta",1,Directed
307,"Puranik, Abhimanyu Sameer","Niemann, Hans Moke",1,Directed
308,"Niemann, Hans Moke","Kurmann, Oliver",1,Directed
309,"Kacharava, Nikoloz","Niemann, Hans Moke",1,Directed
310,"Niemann, Hans Moke","Pranesh, M.",1,Directed
311,"Niemann, Hans Moke","Rogers, Norman",1,Directed
312,"Fischer, Robert James","Petrosian, Tigran V",1,Directed
313,"Petrosian, Tigran V","Fischer, Robert James",1,Directed
314,"Fischer, Robert James","Spassky, Boris Vasilievich",1,Directed
315,"Nielsen, Peter Heine","Carlsen, Magnus",1,Directed
316,"Johannessen, Leif Erlend","Carlsen, Magnus",1,Directed
317,"Carlsen, Magnus","Johannessen, Leif Erlend",1,Directed
318,"Carlsen, Magnus","Shirov, Alexei",1,Directed
319,"Macieja, Bartlomiej","Carlsen, Magnus",1,Directed
320,"Carlsen, Magnus","Kosteniuk, Alexandra",1,Directed
321,"Carlsen, Magnus","Cheparinov, Ivan",1,Directed
322,"Carlsen, Magnus","Nikolic, Predrag",1,Directed
323,"Smeets, Jan","Carlsen, Magnus",1,Directed
324,"Nijboer, Friso","Carlsen, Magnus",1,Directed
325,"Tiviakov, Sergei","Carlsen, Magnus",1,Directed
